key|n|Up|0
M|946|1259|15
M|946|1259|47
M|946|1259|47
M|946|1258|47
M|945|1258|47
M|945|1258|47
M|945|1258|47
key|t|Down|15
M|945|1257|32
M|945|1257|46
key|e|Down|16
M|945|1257|31
key|t|Up|16
M|945|1257|31
key|s|Down|31
M|945|1257|16
M|945|1257|47
key|e|Up|0
M|945|1257|47
key|Space|Down|15
key|s|Up|16
M|945|1257|16
M|945|1257|47
key|t|Down|0
M|945|1257|46
key|Space|Up|16
M|945|1257|31
key|e|Down|16
M|945|1257|31
key|t|Up|16
M|945|1257|31
M|945|1257|47
key|s|Down|0
key|e|Up|0
M|945|1257|47
key|t|Down|31
M|945|1257|16
key|s|Up|31
M|945|1257|16
key|e|Down|0
M|945|1257|46
key|t|Up|16
key|s|Down|16
M|945|1256|15
key|e|Up|32
M|945|1256|15
M|945|1256|47
key|s|Up|16
M|945|1255|31
key|t|Down|0
M|945|1255|47
key|t|Up|0
M|945|1255|47
M|945|1255|47
M|945|1255|46
M|945|1255|47
M|949|1257|47
M|958|1267|47
M|979|1291|47
M|989|1303|47
M|990|1305|47
M|990|1305|47
M|990|1305|46
M|990|1305|47
M|990|1305|47
M|990|1305|47
M|990|1304|47
M|990|1304|47
M|990|1302|47
M|990|1301|47
mousebtn|LButton|Down|31
M|990|1301|15
mousebtn|LButton|Up|47
M|990|1297|0
M|1005|1276|47
M|1070|1240|47
M|1173|1218|47
M|1320|1216|47
M|1635|1250|47
M|1899|1318|47
M|2033|1362|46
M|2136|1403|47
M|2226|1429|47
M|2310|1439|47
M|2356|1439|47
M|2358|1439|47
M|2358|1439|47
M|2358|1439|47
M|2358|1439|46
M|2357|1432|47
M|2351|1426|47
M|2351|1426|47
M|2351|1426|47
M|2349|1425|47
M|2349|1425|47
M|2352|1423|47
M|2369|1423|46
M|2371|1422|47
M|2374|1421|47
M|2375|1420|47
mousebtn|LButton|Down|16
M|2375|1420|31
M|2375|1420|47
mousebtn|LButton|Up|15
M|2375|1417|32
M|2374|1414|47
M|2374|1414|46
M|2372|1319|47
M|2349|1270|47
M|2346|1259|47
M|2346|1257|47
M|2346|1257|47
M|2346|1256|47
M|2346|1255|47
M|2352|1252|46
M|2366|1251|47
M|2392|1245|47
M|2425|1234|47
M|2429|1232|47
M|2429|1232|47
M|2429|1232|47
M|2422|1227|47
M|2418|1224|46
M|2417|1223|47
M|2416|1221|47
M|2416|1220|47
M|2415|1218|47
M|2412|1214|47
M|2397|1192|47
M|2393|1183|47
M|2393|1180|46
M|2392|1176|47
M|2392|1176|47
M|2392|1176|47
M|2392|1176|47
M|2392|1176|47
M|2392|1176|47
M|2403|1178|47
M|2413|1181|46
M|2417|1183|47
M|2419|1184|47
M|2419|1184|47
M|2419|1184|47
M|2420|1185|47
M|2421|1185|47
M|2421|1185|47
M|2421|1185|46
M|2421|1185|47
M|2421|1185|47
M|2421|1185|47
M|2421|1185|47
M|2421|1185|47
M|2421|1185|47
M|2421|1185|47
M|2421|1185|46
M|2421|1185|47
M|2421|1185|47
M|2420|1190|47
M|2415|1201|47
M|2412|1215|47
M|2409|1252|47
M|2406|1266|47
M|2406|1266|46
M|2404|1267|47
M|2392|1268|47
M|2382|1269|47
M|2379|1270|47
M|2378|1270|47
M|2378|1270|47
M|2378|1270|47
M|2378|1270|46
M|2378|1270|47
M|2378|1270|47
M|2378|1270|47
M|2378|1270|47
M|2378|1270|47
M|2378|1270|47
M|2223|1237|47
M|1881|1174|46
M|1387|1102|47
M|1082|1085|47
M|862|1088|47
M|862|1088|47
M|855|1089|47
M|851|1090|47
M|851|1090|47
M|851|1093|46
M|872|1109|47
M|897|1133|47
M|917|1156|47
M|930|1172|47
M|930|1172|47
M|936|1179|47
M|952|1196|47
M|965|1211|46
M|983|1238|47
M|988|1251|47
M|989|1274|47
M|985|1292|47
