M|2303|1059|47
M|2300|1059|47
M|2298|1057|47
M|2295|1053|47
M|2293|1053|47
M|2313|1056|46
M|2326|1061|47
M|2326|1061|47
M|2326|1061|47
M|2326|1061|47
M|2326|1061|47
M|2326|1061|47
M|2326|1061|47
M|2326|1061|46
M|2326|1061|47
M|2326|1061|47
M|2325|1064|47
M|2323|1068|47
M|2326|1072|47
M|2321|1080|47
M|2299|1088|47
M|2153|1098|46
M|1912|1098|47
M|1630|1098|47
M|1475|1098|47
M|1456|1097|47
M|1453|1094|47
M|1446|1085|47
M|1446|1082|47
M|1445|1079|46
M|1443|1078|47
M|1438|1075|47
M|1417|1069|47
M|1368|1063|47
M|1289|1060|47
M|1240|1052|47
M|1179|1035|47
M|1120|1027|46
M|1102|1026|47
M|1102|1029|47
M|1102|1029|47
M|1102|1029|47
M|1102|1029|47
M|1102|1028|47
M|1086|1019|47
M|1080|1013|46
M|1070|1003|47
M|1066|997|47
M|1064|994|47
M|1064|994|47
M|1065|999|47
M|1073|1067|47
M|1030|1172|47
M|980|1236|46
M|978|1237|47
M|943|1252|47
M|933|1260|47
M|935|1265|47
M|942|1282|47
M|944|1289|47
M|944|1289|47
M|944|1289|46
mousebtn|LButton|Down|0
M|944|1289|47
mousebtn|LButton|Up|32
M|944|1285|15
M|947|1263|47
M|960|1238|47
M|988|1221|47
M|1016|1216|47
M|1072|1211|47
M|1098|1207|46
M|1098|1207|47
M|1099|1207|47
mousebtn|LButton|Down|0
M|1099|1207|47
M|1095|1208|47
M|1080|1211|47
M|1039|1211|47
M|1031|1202|47
M|1025|1181|46
M|1022|1170|47
M|1022|1170|47
mousebtn|LButton|Up|47
M|1021|1171|0
M|1017|1187|47
M|1001|1238|47
M|982|1275|47
M|973|1283|47
M|961|1294|46
M|952|1303|47
M|951|1306|47
M|951|1306|47
M|951|1306|47
mousebtn|LButton|Down|31
M|951|1306|16
M|951|1304|47
mousebtn|LButton|Up|15
M|947|1295|32
M|945|1292|46
M|945|1290|47
M|945|1287|47
M|945|1281|47
M|945|1278|47
M|945|1274|47
M|946|1272|47
M|946|1271|47
M|946|1269|46
M|946|1267|47
M|946|1265|47
M|946|1264|47
M|946|1263|47
M|946|1263|47
key|t|Down|31
M|946|1263|16
M|946|1263|47
M|946|1263|46
key|e|Down|16
M|946|1262|31
key|t|Up|32
M|946|1262|15
key|s|Down|31
M|946|1261|16
key|e|Up|16
M|946|1261|31
M|946|1261|47
key|s|Up|15
M|946|1261|32
key|Space|Down|0
key|n|Down|15
M|946|1261|32
key|Space|Up|31
