M|4012|389|78
M|4012|389|47
M|4012|389|47
M|3986|392|47
M|3640|275|46
M|3396|180|47
M|3208|118|47
M|2985|51|47
M|2818|0|47
M|2783|0|47
M|2759|0|47
M|2748|0|47
M|2735|0|46
M|2723|5|47
M|2713|9|47
M|2700|15|47
M|2688|21|47
M|2679|29|47
M|2671|42|47
M|2665|50|47
M|2660|55|46
M|2653|59|47
M|2652|59|47
M|2651|60|47
M|2649|60|47
M|2648|61|47
mousebtn|LButton|Down|31
M|2648|61|16
M|2648|61|47
M|2648|61|46
mousebtn|LButton|Up|0
M|2648|61|47
M|2648|61|47
M|2648|61|47
M|2648|61|47
M|2648|61|47
M|2648|61|47
M|2648|61|47
M|2648|61|46
M|2648|61|47
M|2648|61|47
M|2648|61|47
M|2648|61|47
M|2648|61|47
M|2648|61|47
M|2652|61|47
M|2663|61|46
M|2710|70|47
M|2812|106|47
M|2971|172|47
M|3104|214|47
M|3161|240|47
M|3221|266|47
M|3273|285|47
M|3320|302|46
M|3385|315|47
M|3508|331|47
M|3624|336|47
M|3722|336|47
M|3824|338|47
M|3878|348|47
M|3916|357|47
M|3925|362|46
M|3925|362|47
M|3925|362|47
M|3925|362|47
M|3925|362|47
M|3925|362|47
M|3925|362|47
M|3922|363|47
M|3922|363|46
M|3924|363|47
M|3969|352|47
M|4039|334|47
M|4096|320|47
M|4182|296|47
M|4268|270|47
M|4326|252|47
M|4369|245|46
M|4400|242|47
M|4416|240|47
M|4424|241|47
M|4427|244|47
M|4429|246|47
M|4432|252|47
M|4437|256|47
M|4437|257|46
M|4439|258|47
M|4439|258|47
M|4439|258|47
M|4439|258|47
M|4440|257|47
M|4440|254|47
M|4440|253|47
M|4440|253|46
M|4440|252|47
M|4440|252|47
M|4440|252|47
M|4440|252|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|46
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|46
M|4440|251|47
mousebtn|LButton|Down|32
M|4440|251|15
M|4440|251|47
M|4440|251|47
mousebtn|LButton|Up|31
M|4440|251|16
M|4440|251|47
M|4440|251|47
M|4440|251|46
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|46
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|46
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|46
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4440|251|46
M|4440|251|47
M|4440|251|47
M|4440|251|47
M|4414|250|47
M|4370|264|47
M|4323|289|47
M|4076|395|47
M|3946|470|46
M|3879|523|47
M|3836|568|47
M|3809|601|47
M|3792|620|47
M|3788|624|47
M|3775|627|47
M|3754|630|47
M|3739|631|46
M|3735|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
mousebtn|LButton|Down|16
M|3734|631|31
M|3734|631|47
mousebtn|LButton|Up|31
M|3734|631|16
M|3734|631|46
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|46
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|46
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|46
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|46
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3734|631|47
M|3753|611|47
M|3807|566|46
M|3982|459|47
M|4100|395|47
M|4174|360|47
M|4244|324|47
M|4266|311|47
M|4294|296|47
M|4321|281|47
M|4343|271|46
M|4358|264|47
M|4372|260|47
M|4380|257|47
M|4382|257|47
M|4387|256|47
M|4393|255|47
M|4400|254|47
M|4406|253|46
M|4410|253|47
M|4417|253|47
M|4421|251|47
M|4427|251|47
M|4431|249|47
M|4434|248|47
M|4436|247|47
M|4436|247|46
M|4436|247|47
M|4436|247|47
M|4436|247|47
M|4436|247|47
M|4436|247|47
M|4436|247|47
M|4436|247|47
M|4436|247|46
mousebtn|LButton|Down|32
M|4436|247|15
